domain,function_name,uncertainty_type,execution_time,timestamp,scenario_length
InformationControlEnv,weather_forecast,ad_hoc_rules.md,35.670915842056274,2025-06-21 22:42:10,6633
InformationControlEnv,user_preferences,ad_hoc_rules.md,37.58837080001831,2025-06-21 22:42:12,6142
InformationControlEnv,stock_watchlist,ad_hoc_rules.md,42.463579416275024,2025-06-21 22:42:16,6883
SmartHomeEnv,lock_unlock,ad_hoc_rules.md,44.19251084327698,2025-06-21 22:42:18,7671
MediaControlEnv,shuffle,ad_hoc_rules.md,44.60916042327881,2025-06-21 22:42:19,8771
InformationControlEnv,weather_current,ad_hoc_rules.md,47.6246657371521,2025-06-21 22:42:22,7011
CommunicationController,make_call,ad_hoc_rules.md,48.55542492866516,2025-06-21 22:42:23,11944
MediaControlEnv,get_playback_status,ad_hoc_rules.md,48.84681701660156,2025-06-21 22:42:23,9275
CulinaryControlEnv,track_delivery_order,ad_hoc_rules.md,48.990341663360596,2025-06-21 22:42:23,9083
TimeNotificationEnv,get_reminders,ad_hoc_rules.md,49.28637075424194,2025-06-21 22:42:23,7604
CulinaryControlEnv,get_meal_suggestions,ad_hoc_rules.md,49.350374698638916,2025-06-21 22:42:23,12144
SmartHomeEnv,volume_adjust,ad_hoc_rules.md,50.58290719985962,2025-06-21 22:42:24,10469
MediaControlEnv,rewind,ad_hoc_rules.md,51.83169603347778,2025-06-21 22:42:26,8694
SmartHomeEnv,open_set_position,ad_hoc_rules.md,52.44598197937012,2025-06-21 22:42:26,10055
InformationControlEnv,weather_alerts,ad_hoc_rules.md,54.582775354385376,2025-06-21 22:42:29,7247
CommunicationController,get_call_history,ad_hoc_rules.md,54.75518488883972,2025-06-21 22:42:29,8263
MediaControlEnv,get_media_details,ad_hoc_rules.md,54.852275371551514,2025-06-21 22:42:29,8614
CommunicationController,find_contact,ad_hoc_rules.md,55.23231506347656,2025-06-21 22:42:29,8229
MediaControlEnv,previous,ad_hoc_rules.md,55.32193160057068,2025-06-21 22:42:29,9145
MediaControlEnv,set_playback_speed,ad_hoc_rules.md,55.53943109512329,2025-06-21 22:42:30,9180
SmartHomeEnv,power_on,ad_hoc_rules.md,55.94094514846802,2025-06-21 22:42:30,8681
SmartHomeEnv,channel_change,ad_hoc_rules.md,62.42015314102173,2025-06-21 22:42:36,10210
SmartHomeEnv,brightness_adjust,ad_hoc_rules.md,63.328712940216064,2025-06-21 22:42:37,11072
MediaControlEnv,fast_forward,ad_hoc_rules.md,63.80812931060791,2025-06-21 22:42:38,8388
SmartHomeEnv,find_device_by_name,ad_hoc_rules.md,64.26690673828125,2025-06-21 22:42:38,10822
TransactionEnv,track_order,ad_hoc_rules.md,65.46667528152466,2025-06-21 22:42:39,10178
MediaControlEnv,play,ad_hoc_rules.md,66.5025863647461,2025-06-21 22:42:41,8884
SmartHomeEnv,mode_set,ad_hoc_rules.md,66.82928466796875,2025-06-21 22:42:41,10478
CulinaryControlEnv,place_delivery_order,ad_hoc_rules.md,67.83169794082642,2025-06-21 22:42:42,15054
TimeNotificationEnv,create_reminder,ad_hoc_rules.md,72.07540988922119,2025-06-21 22:42:46,11431
TransactionEnv,checkout,ad_hoc_rules.md,72.82972121238708,2025-06-21 22:42:47,14466
SmartHomeEnv,color_set,ad_hoc_rules.md,72.93762636184692,2025-06-21 22:42:47,10391
TimeNotificationEnv,create_alarm,ad_hoc_rules.md,73.17512369155884,2025-06-21 22:42:47,11363
CulinaryControlEnv,create_custom_recipe,ad_hoc_rules.md,73.37401342391968,2025-06-21 22:42:47,15176
