=== SUCCESSFUL CONVERSATIONS MANIFEST (PlaylistEnv) ===

Generated: 2025-07-17 15:56:44
Total moved files: 100
Failed moves: 0

Successfully moved conversations:
- Conv_user10_MediaControlEnv_playlist_batch_scenario2_playback.jsonl + Conv_user10_MediaControlEnv_playlist_batch_scenario2_playback_exec.py
- Conv_user10_MediaControlEnv_playlist_batch_scenario3_playback.jsonl + Conv_user10_MediaControlEnv_playlist_batch_scenario3_playback_exec.py
- Conv_user10_MediaControlEnv_playlist_batch_scenario10_creation.jsonl + Conv_user10_MediaControlEnv_playlist_batch_scenario10_creation_exec.py
- Conv_user10_MediaControlEnv_playlist_batch_scenario1_management.jsonl + Conv_user10_MediaControlEnv_playlist_batch_scenario1_management_exec.py
- Conv_user10_MediaControlEnv_playlist_batch_scenario4_creation.jsonl + Conv_user10_MediaControlEnv_playlist_batch_scenario4_creation_exec.py
- Conv_user10_MediaControlEnv_playlist_batch_scenario6_management.jsonl + Conv_user10_MediaControlEnv_playlist_batch_scenario6_management_exec.py
- Conv_user10_MediaControlEnv_playlist_batch_scenario5_playback.jsonl + Conv_user10_MediaControlEnv_playlist_batch_scenario5_playback_exec.py
- Conv_user10_MediaControlEnv_playlist_batch_scenario7_management.jsonl + Conv_user10_MediaControlEnv_playlist_batch_scenario7_management_exec.py
- Conv_user10_MediaControlEnv_playlist_batch_scenario8_creation.jsonl + Conv_user10_MediaControlEnv_playlist_batch_scenario8_creation_exec.py
- Conv_user10_MediaControlEnv_playlist_batch_scenario9_creation.jsonl + Conv_user10_MediaControlEnv_playlist_batch_scenario9_creation_exec.py
- Conv_user1_MediaControlEnv_playlist_batch_scenario10_creation.jsonl + Conv_user1_MediaControlEnv_playlist_batch_scenario10_creation_exec.py
- Conv_user1_MediaControlEnv_playlist_batch_scenario1_creation.jsonl + Conv_user1_MediaControlEnv_playlist_batch_scenario1_creation_exec.py
- Conv_user1_MediaControlEnv_playlist_batch_scenario2_playback.jsonl + Conv_user1_MediaControlEnv_playlist_batch_scenario2_playback_exec.py
- Conv_user1_MediaControlEnv_playlist_batch_scenario3_creation.jsonl + Conv_user1_MediaControlEnv_playlist_batch_scenario3_creation_exec.py
- Conv_user1_MediaControlEnv_playlist_batch_scenario4_management.jsonl + Conv_user1_MediaControlEnv_playlist_batch_scenario4_management_exec.py
- Conv_user1_MediaControlEnv_playlist_batch_scenario5_management.jsonl + Conv_user1_MediaControlEnv_playlist_batch_scenario5_management_exec.py
- Conv_user1_MediaControlEnv_playlist_batch_scenario6_creation.jsonl + Conv_user1_MediaControlEnv_playlist_batch_scenario6_creation_exec.py
- Conv_user1_MediaControlEnv_playlist_batch_scenario7_creation.jsonl + Conv_user1_MediaControlEnv_playlist_batch_scenario7_creation_exec.py
- Conv_user1_MediaControlEnv_playlist_batch_scenario8_playback.jsonl + Conv_user1_MediaControlEnv_playlist_batch_scenario8_playback_exec.py
- Conv_user1_MediaControlEnv_playlist_batch_scenario9_creation.jsonl + Conv_user1_MediaControlEnv_playlist_batch_scenario9_creation_exec.py
- Conv_user2_MediaControlEnv_playlist_batch_scenario10_creation.jsonl + Conv_user2_MediaControlEnv_playlist_batch_scenario10_creation_exec.py
