=== SUCCESSFUL INVESTMENT MONITOR MANIFEST (DailyInvestmentMonitor) ===

Generated: 2025-07-08 14:30:10
Total moved files: 60
Failed moves: 0

Successfully moved conversations:
- Conv_user10_DailyInvestmentMonitor_scenario4.jsonl + Conv_user10_DailyInvestmentMonitor_scenario4_exec.py
- Conv_user10_DailyInvestmentMonitor_scenario3.jsonl + Conv_user10_DailyInvestmentMonitor_scenario3_exec.py
- Conv_user10_DailyInvestmentMonitor_scenario1.jsonl + Conv_user10_DailyInvestmentMonitor_scenario1_exec.py
- Conv_user10_DailyInvestmentMonitor_scenario2.jsonl + Conv_user10_DailyInvestmentMonitor_scenario2_exec.py
- Conv_user11_DailyInvestmentMonitor_scenario1.jsonl + Conv_user11_DailyInvestmentMonitor_scenario1_exec.py
- Conv_user10_DailyInvestmentMonitor_scenario5.jsonl + Conv_user10_DailyInvestmentMonitor_scenario5_exec.py
- Conv_user11_DailyInvestmentMonitor_scenario2.jsonl + Conv_user11_DailyInvestmentMonitor_scenario2_exec.py
- Conv_user11_DailyInvestmentMonitor_scenario3.jsonl + Conv_user11_DailyInvestmentMonitor_scenario3_exec.py
- Conv_user11_DailyInvestmentMonitor_scenario4.jsonl + Conv_user11_DailyInvestmentMonitor_scenario4_exec.py
- Conv_user11_DailyInvestmentMonitor_scenario5.jsonl + Conv_user11_DailyInvestmentMonitor_scenario5_exec.py
- Conv_user12_DailyInvestmentMonitor_scenario1.jsonl + Conv_user12_DailyInvestmentMonitor_scenario1_exec.py
- Conv_user12_DailyInvestmentMonitor_scenario2.jsonl + Conv_user12_DailyInvestmentMonitor_scenario2_exec.py
- Conv_user12_DailyInvestmentMonitor_scenario3.jsonl + Conv_user12_DailyInvestmentMonitor_scenario3_exec.py
- Conv_user12_DailyInvestmentMonitor_scenario4.jsonl + Conv_user12_DailyInvestmentMonitor_scenario4_exec.py
- Conv_user1_DailyInvestmentMonitor_scenario1.jsonl + Conv_user1_DailyInvestmentMonitor_scenario1_exec.py
- Conv_user12_DailyInvestmentMonitor_scenario5.jsonl + Conv_user12_DailyInvestmentMonitor_scenario5_exec.py
- Conv_user1_DailyInvestmentMonitor_scenario2.jsonl + Conv_user1_DailyInvestmentMonitor_scenario2_exec.py
- Conv_user1_DailyInvestmentMonitor_scenario3.jsonl + Conv_user1_DailyInvestmentMonitor_scenario3_exec.py
- Conv_user1_DailyInvestmentMonitor_scenario5.jsonl + Conv_user1_DailyInvestmentMonitor_scenario5_exec.py
- Conv_user1_DailyInvestmentMonitor_scenario4.jsonl + Conv_user1_DailyInvestmentMonitor_scenario4_exec.py
- Conv_user2_DailyInvestmentMonitor_scenario1.jsonl + Conv_user2_DailyInvestmentMonitor_scenario1_exec.py
- Conv_user2_DailyInvestmentMonitor_scenario2.jsonl + Conv_user2_DailyInvestmentMonitor_scenario2_exec.py
- Conv_user2_DailyInvestmentMonitor_scenario3.jsonl + Conv_user2_DailyInvestmentMonitor_scenario3_exec.py
- Conv_user2_DailyInvestmentMonitor_scenario4.jsonl + Conv_user2_DailyInvestmentMonitor_scenario4_exec.py
- Conv_user2_DailyInvestmentMonitor_scenario5.jsonl + Conv_user2_DailyInvestmentMonitor_scenario5_exec.py
- Conv_user3_DailyInvestmentMonitor_scenario1.jsonl + Conv_user3_DailyInvestmentMonitor_scenario1_exec.py
- Conv_user3_DailyInvestmentMonitor_scenario2.jsonl + Conv_user3_DailyInvestmentMonitor_scenario2_exec.py
- Conv_user3_DailyInvestmentMonitor_scenario3.jsonl + Conv_user3_DailyInvestmentMonitor_scenario3_exec.py
- Conv_user3_DailyInvestmentMonitor_scenario5.jsonl + Conv_user3_DailyInvestmentMonitor_scenario5_exec.py
- Conv_user3_DailyInvestmentMonitor_scenario4.jsonl + Conv_user3_DailyInvestmentMonitor_scenario4_exec.py
- Conv_user4_DailyInvestmentMonitor_scenario1.jsonl + Conv_user4_DailyInvestmentMonitor_scenario1_exec.py
- Conv_user4_DailyInvestmentMonitor_scenario2.jsonl + Conv_user4_DailyInvestmentMonitor_scenario2_exec.py
- Conv_user4_DailyInvestmentMonitor_scenario4.jsonl + Conv_user4_DailyInvestmentMonitor_scenario4_exec.py
- Conv_user4_DailyInvestmentMonitor_scenario5.jsonl + Conv_user4_DailyInvestmentMonitor_scenario5_exec.py
- Conv_user4_DailyInvestmentMonitor_scenario3.jsonl + Conv_user4_DailyInvestmentMonitor_scenario3_exec.py
- Conv_user5_DailyInvestmentMonitor_scenario1.jsonl + Conv_user5_DailyInvestmentMonitor_scenario1_exec.py
- Conv_user5_DailyInvestmentMonitor_scenario3.jsonl + Conv_user5_DailyInvestmentMonitor_scenario3_exec.py
- Conv_user5_DailyInvestmentMonitor_scenario2.jsonl + Conv_user5_DailyInvestmentMonitor_scenario2_exec.py
- Conv_user5_DailyInvestmentMonitor_scenario4.jsonl + Conv_user5_DailyInvestmentMonitor_scenario4_exec.py
- Conv_user5_DailyInvestmentMonitor_scenario5.jsonl + Conv_user5_DailyInvestmentMonitor_scenario5_exec.py
- Conv_user6_DailyInvestmentMonitor_scenario2.jsonl + Conv_user6_DailyInvestmentMonitor_scenario2_exec.py
- Conv_user6_DailyInvestmentMonitor_scenario3.jsonl + Conv_user6_DailyInvestmentMonitor_scenario3_exec.py
- Conv_user6_DailyInvestmentMonitor_scenario1.jsonl + Conv_user6_DailyInvestmentMonitor_scenario1_exec.py
- Conv_user6_DailyInvestmentMonitor_scenario4.jsonl + Conv_user6_DailyInvestmentMonitor_scenario4_exec.py
- Conv_user7_DailyInvestmentMonitor_scenario2.jsonl + Conv_user7_DailyInvestmentMonitor_scenario2_exec.py
- Conv_user7_DailyInvestmentMonitor_scenario3.jsonl + Conv_user7_DailyInvestmentMonitor_scenario3_exec.py
- Conv_user7_DailyInvestmentMonitor_scenario1.jsonl + Conv_user7_DailyInvestmentMonitor_scenario1_exec.py
- Conv_user6_DailyInvestmentMonitor_scenario5.jsonl + Conv_user6_DailyInvestmentMonitor_scenario5_exec.py
- Conv_user7_DailyInvestmentMonitor_scenario4.jsonl + Conv_user7_DailyInvestmentMonitor_scenario4_exec.py
- Conv_user7_DailyInvestmentMonitor_scenario5.jsonl + Conv_user7_DailyInvestmentMonitor_scenario5_exec.py
- Conv_user8_DailyInvestmentMonitor_scenario1.jsonl + Conv_user8_DailyInvestmentMonitor_scenario1_exec.py
- Conv_user8_DailyInvestmentMonitor_scenario2.jsonl + Conv_user8_DailyInvestmentMonitor_scenario2_exec.py
- Conv_user8_DailyInvestmentMonitor_scenario3.jsonl + Conv_user8_DailyInvestmentMonitor_scenario3_exec.py
- Conv_user8_DailyInvestmentMonitor_scenario4.jsonl + Conv_user8_DailyInvestmentMonitor_scenario4_exec.py
- Conv_user8_DailyInvestmentMonitor_scenario5.jsonl + Conv_user8_DailyInvestmentMonitor_scenario5_exec.py
