=== SUCCESSFUL CONVERSATIONS MANIFEST (TransactionEnv) ===

Generated: 2025-07-15 20:33:49
Total moved files: 100
Failed moves: 0

Successfully moved conversations:
- Conv_user10_TransactionEnv_shopping_batch_scenario1_cart.jsonl + Conv_user10_TransactionEnv_shopping_batch_scenario1_cart_exec.py
- Conv_user10_TransactionEnv_shopping_batch_scenario3_orders.jsonl + Conv_user10_TransactionEnv_shopping_batch_scenario3_orders_exec.py
- Conv_user10_TransactionEnv_shopping_batch_scenario10_shopping.jsonl + Conv_user10_TransactionEnv_shopping_batch_scenario10_shopping_exec.py
- Conv_user10_TransactionEnv_shopping_batch_scenario2_shopping.jsonl + Conv_user10_TransactionEnv_shopping_batch_scenario2_shopping_exec.py
- Conv_user10_TransactionEnv_shopping_batch_scenario5_cart.jsonl + Conv_user10_TransactionEnv_shopping_batch_scenario5_cart_exec.py
- Conv_user10_TransactionEnv_shopping_batch_scenario4_orders.jsonl + Conv_user10_TransactionEnv_shopping_batch_scenario4_orders_exec.py
- Conv_user10_TransactionEnv_shopping_batch_scenario6_cart.jsonl + Conv_user10_TransactionEnv_shopping_batch_scenario6_cart_exec.py
- Conv_user10_TransactionEnv_shopping_batch_scenario7_cart.jsonl + Conv_user10_TransactionEnv_shopping_batch_scenario7_cart_exec.py
- Conv_user1_TransactionEnv_shopping_batch_scenario10_orders.jsonl + Conv_user1_TransactionEnv_shopping_batch_scenario10_orders_exec.py
- Conv_user10_TransactionEnv_shopping_batch_scenario8_shopping.jsonl + Conv_user10_TransactionEnv_shopping_batch_scenario8_shopping_exec.py
- Conv_user10_TransactionEnv_shopping_batch_scenario9_orders.jsonl + Conv_user10_TransactionEnv_shopping_batch_scenario9_orders_exec.py
- Conv_user1_TransactionEnv_shopping_batch_scenario1_shopping.jsonl + Conv_user1_TransactionEnv_shopping_batch_scenario1_shopping_exec.py
- Conv_user1_TransactionEnv_shopping_batch_scenario3_orders.jsonl + Conv_user1_TransactionEnv_shopping_batch_scenario3_orders_exec.py
- Conv_user1_TransactionEnv_shopping_batch_scenario2_shopping.jsonl + Conv_user1_TransactionEnv_shopping_batch_scenario2_shopping_exec.py
- Conv_user1_TransactionEnv_shopping_batch_scenario5_shopping.jsonl + Conv_user1_TransactionEnv_shopping_batch_scenario5_shopping_exec.py
- Conv_user1_TransactionEnv_shopping_batch_scenario4_cart.jsonl + Conv_user1_TransactionEnv_shopping_batch_scenario4_cart_exec.py
- Conv_user1_TransactionEnv_shopping_batch_scenario6_shopping.jsonl + Conv_user1_TransactionEnv_shopping_batch_scenario6_shopping_exec.py
- Conv_user1_TransactionEnv_shopping_batch_scenario7_cart.jsonl + Conv_user1_TransactionEnv_shopping_batch_scenario7_cart_exec.py
- Conv_user1_TransactionEnv_shopping_batch_scenario9_cart.jsonl + Conv_user1_TransactionEnv_shopping_batch_scenario9_cart_exec.py
- Conv_user1_TransactionEnv_shopping_batch_scenario8_orders.jsonl + Conv_user1_TransactionEnv_shopping_batch_scenario8_orders_exec.py
- Conv_user2_TransactionEnv_shopping_batch_scenario10_shopping.jsonl + Conv_user2_TransactionEnv_shopping_batch_scenario10_shopping_exec.py
