=== SUCCESSFUL CONVERSATIONS MANIFEST (MediaControlEnv) ===

Generated: 2025-07-17 15:51:34
Total moved files: 100
Failed moves: 0

Successfully moved conversations:
- Conv_user10_MediaControlEnv_media_batch_scenario10_exploration.jsonl + Conv_user10_MediaControlEnv_media_batch_scenario10_exploration_exec.py
- Conv_user10_MediaControlEnv_media_batch_scenario2_exploration.jsonl + Conv_user10_MediaControlEnv_media_batch_scenario2_exploration_exec.py
- Conv_user10_MediaControlEnv_media_batch_scenario3_control.jsonl + Conv_user10_MediaControlEnv_media_batch_scenario3_control_exec.py
- Conv_user10_MediaControlEnv_media_batch_scenario1_exploration.jsonl + Conv_user10_MediaControlEnv_media_batch_scenario1_exploration_exec.py
- Conv_user10_MediaControlEnv_media_batch_scenario4_control.jsonl + Conv_user10_MediaControlEnv_media_batch_scenario4_control_exec.py
- Conv_user10_MediaControlEnv_media_batch_scenario7_exploration.jsonl + Conv_user10_MediaControlEnv_media_batch_scenario7_exploration_exec.py
- Conv_user10_MediaControlEnv_media_batch_scenario6_session.jsonl + Conv_user10_MediaControlEnv_media_batch_scenario6_session_exec.py
- Conv_user10_MediaControlEnv_media_batch_scenario5_session.jsonl + Conv_user10_MediaControlEnv_media_batch_scenario5_session_exec.py
- Conv_user10_MediaControlEnv_media_batch_scenario8_control.jsonl + Conv_user10_MediaControlEnv_media_batch_scenario8_control_exec.py
- Conv_user1_MediaControlEnv_media_batch_scenario1_session.jsonl + Conv_user1_MediaControlEnv_media_batch_scenario1_session_exec.py
- Conv_user1_MediaControlEnv_media_batch_scenario10_exploration.jsonl + Conv_user1_MediaControlEnv_media_batch_scenario10_exploration_exec.py
- Conv_user10_MediaControlEnv_media_batch_scenario9_session.jsonl + Conv_user10_MediaControlEnv_media_batch_scenario9_session_exec.py
- Conv_user1_MediaControlEnv_media_batch_scenario2_exploration.jsonl + Conv_user1_MediaControlEnv_media_batch_scenario2_exploration_exec.py
- Conv_user1_MediaControlEnv_media_batch_scenario4_session.jsonl + Conv_user1_MediaControlEnv_media_batch_scenario4_session_exec.py
- Conv_user1_MediaControlEnv_media_batch_scenario3_exploration.jsonl + Conv_user1_MediaControlEnv_media_batch_scenario3_exploration_exec.py
- Conv_user1_MediaControlEnv_media_batch_scenario5_control.jsonl + Conv_user1_MediaControlEnv_media_batch_scenario5_control_exec.py
- Conv_user1_MediaControlEnv_media_batch_scenario6_exploration.jsonl + Conv_user1_MediaControlEnv_media_batch_scenario6_exploration_exec.py
- Conv_user1_MediaControlEnv_media_batch_scenario7_session.jsonl + Conv_user1_MediaControlEnv_media_batch_scenario7_session_exec.py
- Conv_user1_MediaControlEnv_media_batch_scenario8_exploration.jsonl + Conv_user1_MediaControlEnv_media_batch_scenario8_exploration_exec.py
- Conv_user1_MediaControlEnv_media_batch_scenario9_control.jsonl + Conv_user1_MediaControlEnv_media_batch_scenario9_control_exec.py
- Conv_user2_MediaControlEnv_media_batch_scenario10_exploration.jsonl + Conv_user2_MediaControlEnv_media_batch_scenario10_exploration_exec.py
- Conv_user2_MediaControlEnv_media_batch_scenario1_control.jsonl + Conv_user2_MediaControlEnv_media_batch_scenario1_control_exec.py
